Author,Date,Text
RM old Town road♥️🎉,2019-11-17 23:56:53, Absolutly the spanish is the best in the World @DrakeBell @BTS_twthttps://twitter.com/DrakeBell/status/1196083107671068672 …
AV,2019-11-17 23:56:12,Drake Campana.
Federico Ramírez,2019-11-17 23:55:49,"That's ok, but... She does know that America includes from Canada to Chile, right? That means that most of the Americans speak Spanish and just a minority speak English as native language... RIGHT???"
Elaine 🔝,2019-11-17 23:54:22,@DrakeBell THIS  pic.twitter.com/34aq2Bza8J
valegut,2019-11-17 23:53:31,Then change your name to Drake Campana.
Papu griffin,2019-11-17 23:52:42,"Sorry, i don't speak Narcotrafico"
itandehui ramirez Me,2019-11-17 23:52:26,Please Don't go 
HOLITO13,2019-11-17 23:52:25,Drake bell ahora: pic.twitter.com/w9PzeBFczc
Dei🦀,2019-11-17 23:52:22,Asies
Self Care,2019-11-17 23:51:03,Drake Bell pic.twitter.com/LMwMf08CmU
Gabriel Dark,2019-11-17 23:50:59,"We love you bien mucho, carnal!!! "
Self Care,2019-11-17 23:50:46,Drake Bell pic.twitter.com/v10u4LLP8c
𝓒 𝓗 𝓛 𝓞,2019-11-17 23:50:02,Drake Bell me cae shido.
María del Rocío,2019-11-17 23:46:34,Drake si 
Diana Sahian,2019-11-17 23:42:25,"Giiiirl, we’re jk, us Mexicans just love teasing, nothing personal, don’t even trip about us "
Lisset 🦋,2019-11-17 23:42:24,"Pinche Drake Bell, le encanta el mame pic.twitter.com/0kVVHZsgLA"
Lizzy,2019-11-17 23:42:11,Awebo!
Jostin Iglesias,2019-11-17 23:38:57,@DrakeBell jefe pic.twitter.com/VYC5g22Duu
RM old Town road♥️🎉,2019-11-17 23:56:53, Absolutly the spanish is the best in the World @DrakeBell @BTS_twthttps://twitter.com/DrakeBell/status/1196083107671068672 …
AV,2019-11-17 23:56:12,Drake Campana.
Federico Ramírez,2019-11-17 23:55:49,"That's ok, but... She does know that America includes from Canada to Chile, right? That means that most of the Americans speak Spanish and just a minority speak English as native language... RIGHT???"
Elaine 🔝,2019-11-17 23:54:22,@DrakeBell THIS  pic.twitter.com/34aq2Bza8J
valegut,2019-11-17 23:53:31,Then change your name to Drake Campana.
Papu griffin,2019-11-17 23:52:42,"Sorry, i don't speak Narcotrafico"
itandehui ramirez Me,2019-11-17 23:52:26,Please Don't go 
HOLITO13,2019-11-17 23:52:25,Drake bell ahora: pic.twitter.com/w9PzeBFczc
Dei🦀,2019-11-17 23:52:22,Asies
Self Care,2019-11-17 23:51:03,Drake Bell pic.twitter.com/LMwMf08CmU
Gabriel Dark,2019-11-17 23:50:59,"We love you bien mucho, carnal!!! "
Self Care,2019-11-17 23:50:46,Drake Bell pic.twitter.com/v10u4LLP8c
𝓒 𝓗 𝓛 𝓞,2019-11-17 23:50:02,Drake Bell me cae shido.
María del Rocío,2019-11-17 23:46:34,Drake si 
Diana Sahian,2019-11-17 23:42:25,"Giiiirl, we’re jk, us Mexicans just love teasing, nothing personal, don’t even trip about us "
Lisset 🦋,2019-11-17 23:42:24,"Pinche Drake Bell, le encanta el mame pic.twitter.com/0kVVHZsgLA"
Lizzy,2019-11-17 23:42:11,Awebo!
Jostin Iglesias,2019-11-17 23:38:57,@DrakeBell jefe pic.twitter.com/VYC5g22Duu
Carlos Puente,2019-11-17 23:38:03,THAT IS LA MOLEEEE!!!
Rick Flores,2019-11-17 23:36:41,Thanks
Arely ♡×,2019-11-17 23:35:15,@DrakeBell love me please
thank you 🐻🏹,2019-11-17 23:35:13,King
Piccolo Weird O's,2019-11-17 23:34:51,"Still wrong, North America is not a continent, America is. And it's divide in 3 parts, north, central and south.
#ElementarySchool"
𝓐𝓷𝓷 🌸,2019-11-17 23:34:45,"Morat, Emi, Drake Bell, Harry, Little mix y Niall, Niko, Danna Paola

#JoaquinEnCondesahttps://twitter.com/perfectlynasas/status/1196209050666651650 …"
Abogado Del Turco,2019-11-17 23:34:40,Mole in English from now on...
Memerry Christmas ☃️🎅🎄🎁❄️,2019-11-17 23:32:58,Drake campana
ame_colon,2019-11-17 23:32:22,Drake bell pic.twitter.com/V0fJQm1sa4
omar,2019-11-17 23:31:22,Hehe wonderful
◟̽◞̽ El ◟̽◞̽,2019-11-17 23:30:48,Okay but why 
Scar,2019-11-17 23:28:54,@DrakeBell can you unblock me on Instagram?:( pic.twitter.com/4p7moh40Vj
bautista04,2019-11-17 23:28:31,O yeah
Daniela Luna,2019-11-17 23:27:13,Al finnnnn
Sara Gonzalez,2019-11-17 23:26:59,Genial 
Brian Gs,2019-11-17 23:26:55,"Nope, North America is not a country but three countries and Mexico is in North America"
ZAMANTHA CUEVAS,2019-11-17 23:26:21,Genial
Mariana Díaz,2019-11-17 23:25:43,Grande @DrakeBell  pic.twitter.com/dPP5JZU3qg
"isa; ws, siu, ntmy, wmi, flames",2019-11-17 23:25:00,THINGS DRAKE BELL DID: THAT pic.twitter.com/bIntJrSR36
Brian Gs,2019-11-17 23:23:47,"North America is part of the American continent, but it is not a continent in the strict sense of the word, the American continent is made up of North America, Central America and South America"
Josué Chin,2019-11-17 23:21:58,What about your America’s fans??
Poseidon Rey del mar,2019-11-17 23:21:49,Genial  :0
David Ulises Lozant,2019-11-17 23:21:47,owned
samuel va a ver a GNR,2019-11-17 23:21:10,"Damn dude i really like ur tweets, you have my like! Keep the good content coming."
フェルナンド #MOMORING 🍑,2019-11-17 23:20:59,Amen!!pic.twitter.com/QCZZFtF0pN
osogordoaustraliano,2019-11-17 23:19:02,Ok boomer
Lups Aldana Valadez,2019-11-17 23:18:57,"@DrakeBell Hi, I'm mexican and we appreciate the love you have for our culture ,especially in times where speaking spanish's  become dangerous.But I hate that you're kind of turning your back on where you come from.We all need to be empathic,but also de all need to wear our roots"
HobbitDelTwuita,2019-11-17 23:18:19,Bacan ctm
Master Jedi,2019-11-17 23:18:13,".5ppr Dynasty 2RB 2WR 2FLEX

CONTENDING TEAM

RBs: CMC, Cook, Bell, Drake

WRs: Evans, Cooper, Godwin, Chark

@MyFantasyLeague"
Michael Anthony,2019-11-17 23:17:26,"a song with Drake, Drake Bell & Drake White would be interesting"
Miya🔥,2019-11-17 23:16:02,"@Xian_Bell @RATED_TG if Drake and Chris Brown did a remix to Often by Xian Bell feat. Chris O'Bannon.Whos version would be better?

...I'mma go with Xian and Chris WHO AGREES WITH ME!"
Lili,2019-11-17 23:15:45,Omg dude. I love you
𝑪𝒂𝒓𝒐,2019-11-17 23:15:32,AWEBOOO
Bipolar,2019-11-17 23:15:23,Te amo drake bell
i love my novia🦋,2019-11-17 23:14:09,Aight then
Lupita🇲🇽,2019-11-17 23:13:55,Gracias Drake 
Allen Reinhardt,2019-11-17 23:11:52,"Yeah why tf @DrakeBell get two?? Mf ain’t about shit except being a super fan, in that case can I get six rings for the lakers??"
Sheila purdy,2019-11-17 23:11:35,Hey my prince@Drakebell i love you and I always will love you you got fans out here in America like Stoneville NC and Greensboro NC but you want come out here to North Carolina i am pound of you but I don't speak Spanish and i don't understand why you always go there and not here
Synthetic Drugs. 🎠,2019-11-17 23:09:52,Only i can say is:pic.twitter.com/dzZNKrVTZR
gianfranco torcasio,2019-11-17 23:09:40,"@DrakeBell I love you, man. pic.twitter.com/SF51FOACRM"
joc,2019-11-17 23:08:30,Does this have to do with Mexico having your back when @ItsJoshPeck didn’t invite You to his wedding?
el Maru,2019-11-17 23:07:47,Aweboo
GLDNPRRO,2019-11-17 23:07:15,I'll be speaking english instead drake bell.
uɐʌǝʇsƎ @ #ClimateAction,2019-11-17 23:06:57,"That scene’s awesome

should I mention now or later that it’s Drake Bell and Roger Craig Smith talking"
sam,2019-11-17 23:05:41,Drake bell from Drake and josh
Starhe 🌼,2019-11-17 23:05:08,Drake campanaaaaa XD 
Miguel Angel Mendoza,2019-11-17 23:04:32,Genial
CENAIDA KILOS 💎,2019-11-17 23:02:17,Fue Evo al Latin Music Awards?
Andrés R Retana,2019-11-17 23:00:22,"I understand but, normally every USA citizen thinks north America is only USA, maybe they never had a world map, so sad!

Braking news! North America = Alaska, Canada, USA and Mexico, all in that order."
• c a r o l i n a •,2019-11-17 23:00:17,It's ok 
A L A N A 🇲🇽,2019-11-17 22:59:35,US stole us Texas so now we took @DrakeBell away from them https://twitter.com/drakebell/status/1196083107671068672 …
Jesús Rodriguez,2019-11-17 22:59:16,Real?pic.twitter.com/UGLTLR3IuV
𝑀𝑎𝑥𝑖𝑛𝑒,2019-11-17 22:58:49,Drake Bell is the only man I stan https://twitter.com/drakebell/status/1196083107671068672 …
Diego Cruz,2019-11-17 22:58:44,Love you so much bro
El Farid 16,2019-11-17 22:58:11,"Eres grande Drake,te amo Drake."
Noche de Luna,2019-11-17 22:57:54,Sounds good @DrakeBell https://twitter.com/drakebell/status/1196083107671068672 …
Dani,2019-11-17 22:55:37,Drake Bell besto husbando osiosi https://twitter.com/DrakeBell/status/1196083107671068672 …
gladsu,2019-11-17 22:54:16,And now? Anti-english 
"El conchetumare regresará, pronto",2019-11-17 22:53:51,top 1 momentos gamer
Laura Cardona,2019-11-17 22:53:51,@DrakeBell grande drake  pic.twitter.com/Yndo7krij1
Alexander Flores M.™🏁,2019-11-17 22:52:57,Oh my God!
Valeria Segovia,2019-11-17 22:52:49,Pero drake bell
Erick Christensen,2019-11-17 22:52:12,Makes 2 of us!
rocio vazquez,2019-11-17 22:52:03,Mmm Mexico is part of North America...pic.twitter.com/vy75P2pQYj
🧸🧸🧸,2019-11-17 22:51:37,YESSIR
; Eli.,2019-11-17 22:51:15,"No Twice, no life"
Manuel Scaccia,2019-11-17 22:49:56,Grande Drake
Pato,2019-11-17 22:49:44,"No shit, Sherlock"
emily 🌙☀️,2019-11-17 22:49:26,"Literally no one:

Drake Bell like...eight years later: https://twitter.com/DrakeBell/status/1196083107671068672 …"
🍑,2019-11-17 22:49:07,North America is not a continent.  First learn some geography and then learn spanish y chinga tu madre
BOOBOO💕🐱,2019-11-17 22:48:55,Love drake
Alex01800,2019-11-17 22:48:11,North América is nota considered as a continent its more used to ubícate some countries like when we Say Ocident europe ir stuff like that
Sulema salas,2019-11-17 22:47:56,So sweet as Hispanic we love you and Mexico loves you too @DrakeBell https://twitter.com/DrakeBell/status/1196076004697001985 …
wally wanderer,2019-11-17 22:47:45,Drake bell lopez pic.twitter.com/Rpu0lPzE5l
clor,2019-11-17 22:47:00,drake bell
Guillermo,2019-11-17 22:46:10,"North America has 3 countries including Mexico ,"
✨🍭🍩🦄 мαzαραη 🦄🍩🍭✨,2019-11-17 22:45:29,Super yunior resumido en un tuit de Drake Bell https://twitter.com/DrakeBell/status/1196154052460941317 …
🇨🇷 D I A N A || ダイアナ 🇯🇵,2019-11-17 22:42:55,Crack
Roberto Mateos Cantú,2019-11-17 22:42:34,Why my friend
celeste,2019-11-17 22:40:04,"It all depends on education, most Hispanics are taught that there are only 5 continents, but North Americans are taught that there are 7, including North and South America.

( i dont speak english very well, i hope that you understand)"
Juancho Juancho,2019-11-17 22:39:40,Grande
Erik,2019-11-17 22:38:53,Te amo Drake Bell 
CamiloGR92,2019-11-17 22:38:24,"I am from the American continent.... I am American. 
-* But I am not E. E. U. U. "
Esme💫 #WeMadeIt es vida.,2019-11-17 22:38:23,"Eres bien soft, *cries in spanish* "
Frι мιѕѕeѕ loυιѕ ◟̽◞̽,2019-11-17 22:37:12,Okis
Apolonio,2019-11-17 22:35:34,"Actually North America is composed by three countries, USA, Canada and Mexico"
Noah Cyrus-Chalamet,2019-11-17 22:35:24,"i am death at drake bell's random popularity in latin america

fun fact when i moved to the US circa 2009 whenever people talked about drake i thought they meant bell lmao

https://www.youtube.com/watch?time_continue=18&v=xUZy54PjisM&feature=emb_logo …"
El Duque,2019-11-17 22:35:16,"El Car Seat Headrest se parece a Drake Bell, lol"
